Date,Close/Last,Volume,Open,High,Low
02/18/2025,$184.97,6929627,$185.68,$188.66,$184.22
02/14/2025,$184.42,5044712,$186.75,$186.82,$183.575
02/13/2025,$185.44,6846329,$187.00,$188.24,$185.09
02/12/2025,$186.25,7686842,$178.34,$186.27,$178.25
02/11/2025,$180.44,4366651,$179.78,$182.14,$177.60
02/10/2025,$180.55,3989106,$183.12,$183.55,$179.90
02/07/2025,$181.49,5392310,$185.26,$186.1087,$180.93
02/06/2025,$184.80,6919404,$182.00,$185.85,$182.00
02/05/2025,$181.84,7430431,$176.00,$181.86,$175.505
02/04/2025,$176.23,4503584,$176.90,$177.45,$174.25
02/03/2025,$175.87,6501722,$174.11,$178.20,$173.1277
01/31/2025,$176.52,6116155,$180.51,$181.78,$175.74
01/30/2025,$179.53,6996317,$174.59,$179.94,$173.7218
01/29/2025,$173.66,12263460,$179.125,$182.55,$170.65
01/28/2025,$177.78,22768850,$181.31,$188.48,$174.02
01/27/2025,$175.16,7148613,$175.55,$178.18,$174.40
01/24/2025,$176.06,9304227,$176.00,$180.43,$174.365
01/23/2025,$178.50,7097348,$174.01,$178.6699,$173.75
01/22/2025,$174.80,5134446,$175.29,$176.23,$173.88
01/21/2025,$175.56,8755311,$172.38,$177.09,$171.9321
01/17/2025,$171.09,9557133,$169.795,$171.77,$169.45
01/16/2025,$168.93,5812341,$166.79,$170.6399,$166.57
01/15/2025,$166.20,6451034,$169.01,$169.99,$165.9701
01/14/2025,$167.02,7966857,$171.37,$171.88,$164.62
01/13/2025,$170.57,6049552,$171.18,$172.50,$167.91
01/10/2025,$172.00,7556765,$171.49,$173.535,$167.41
01/08/2025,$171.76,5108711,$171.15,$173.78,$169.61
01/07/2025,$172.51,7045017,$171.165,$175.02,$170.80
01/06/2025,$170.78,11133430,$173.50,$173.9442,$170.19
01/03/2025,$169.90,10513770,$171.40,$173.98,$169.80
01/02/2025,$171.87,12449950,$178.31,$179.19,$169.82
12/31/2024,$177.00,9748554,$177.54,$179.3499,$175.82
12/30/2024,$176.55,18082310,$173.72,$178.17,$170.15
12/27/2024,$180.72,6806925,$180.01,$181.43,$179.40
12/26/2024,$180.38,5917678,$178.98,$182.57,$178.33
12/24/2024,$179.34,4316969,$177.69,$180.95,$177.50
12/23/2024,$177.69,8486421,$178.12,$179.65,$174.2901
12/20/2024,$177.35,23233670,$176.86,$182.00,$175.31
12/19/2024,$177.04,14777070,$175.00,$179.5788,$173.72
12/18/2024,$172.62,15437180,$173.28,$177.94,$171.002
12/17/2024,$173.03,13557080,$173.04,$175.7866,$171.71
12/16/2024,$173.17,13050710,$168.09,$175.20,$166.10
12/13/2024,$169.65,9754901,$168.00,$170.43,$166.33
12/12/2024,$167.75,10617740,$168.23,$168.82,$165.6501
12/11/2024,$165.96,13116630,$165.52,$169.30,$164.381
12/10/2024,$164.10,17149190,$160.00,$166.68,$159.42
12/09/2024,$157.04,13540020,$154.27,$161.95,$154.27
12/06/2024,$153.93,8182668,$157.03,$158.9533,$153.37
12/05/2024,$156.67,7119832,$158.50,$160.02,$156.0475
12/04/2024,$158.28,9269316,$155.88,$160.20,$154.21
12/03/2024,$155.00,6130313,$156.00,$156.6486,$154.42
12/02/2024,$156.54,10097910,$155.91,$160.35,$155.70
11/29/2024,$155.44,7100090,$153.00,$157.5025,$152.85
11/27/2024,$152.40,5210147,$151.11,$152.91,$150.25
11/26/2024,$150.76,8234985,$152.50,$153.1398,$149.80
11/25/2024,$153.10,11479410,$150.70,$153.28,$150.26
11/22/2024,$149.29,13353080,$143.61,$150.339,$143.49
11/21/2024,$143.41,7845135,$146.39,$146.42,$141.34
11/20/2024,$146.08,9232114,$146.04,$147.30,$145.0201
11/19/2024,$145.60,8247289,$143.00,$145.99,$142.6901
11/18/2024,$143.87,12259930,$140.255,$144.69,$138.20
11/15/2024,$140.19,12120100,$138.14,$140.3247,$137.03
11/14/2024,$138.14,15646710,$140.80,$141.55,$137.22
11/13/2024,$139.97,21249600,$145.58,$145.58,$139.10
11/12/2024,$145.17,16746650,$148.40,$148.50,$143.85
11/11/2024,$148.96,12799080,$152.00,$152.50,$148.07
11/08/2024,$151.68,12996810,$151.12,$152.60,$149.43
11/07/2024,$150.98,14709240,$148.80,$152.80,$148.03
11/06/2024,$147.16,28069290,$152.30,$153.20,$144.13
11/05/2024,$151.00,23126640,$157.47,$157.66,$150.65
11/04/2024,$155.07,10290390,$154.62,$156.72,$152.46
11/01/2024,$154.59,18894510,$152.78,$156.00,$151.23
10/31/2024,$149.31,29388200,$154.31,$154.48,$147.88
10/30/2024,$154.29,50738360,$152.51,$156.91,$152.51
10/29/2024,$152.98,66387680,$147.86,$155.99,$147.58
10/28/2024,$150.69,20992480,$153.50,$155.20,$150.61
10/25/2024,$155.01,8152969,$156.20,$157.48,$154.5202
10/24/2024,$155.20,9774355,$152.61,$155.89,$151.98
10/23/2024,$157.06,15931490,$160.00,$161.4725,$153.53
10/22/2024,$159.88,7380826,$160.50,$160.66,$158.37
10/21/2024,$159.82,13277550,$160.25,$163.44,$158.36
10/18/2024,$155.00,6030173,$155.84,$156.37,$153.90
10/17/2024,$155.31,6291759,$155.00,$157.14,$154.25
10/16/2024,$154.90,8356210,$151.91,$154.99,$151.34
10/15/2024,$152.35,11241670,$150.50,$153.95,$148.55
10/14/2024,$148.99,9736998,$148.00,$150.09,$146.02
10/11/2024,$151.02,10688550,$146.30,$151.12,$146.30
10/10/2024,$146.62,11275840,$149.07,$149.11,$146.26
10/09/2024,$149.37,12488480,$152.05,$152.19,$148.80
10/08/2024,$154.65,5336289,$155.99,$156.70,$154.14
10/07/2024,$155.91,6267890,$155.00,$158.7599,$154.68
10/04/2024,$155.00,6680591,$152.26,$155.00,$150.85
10/03/2024,$150.52,5704814,$152.12,$152.74,$150.51
10/02/2024,$152.89,4357023,$153.765,$154.8499,$152.835
10/01/2024,$154.22,12588780,$151.46,$156.40,$149.49
09/30/2024,$152.04,10925180,$154.79,$155.30,$151.24
09/27/2024,$156.32,7636991,$155.365,$157.33,$154.39
09/26/2024,$154.58,11414380,$153.94,$157.33,$152.66
09/25/2024,$152.22,9587697,$156.42,$157.22,$152.045
09/24/2024,$155.81,7414902,$155.80,$155.90,$153.69
09/23/2024,$156.30,12476810,$153.00,$158.43,$151.65
09/20/2024,$153.29,13919400,$154.01,$154.64,$152.60
09/19/2024,$154.59,9570002,$157.00,$157.18,$154.27
09/18/2024,$155.11,7714430,$157.00,$158.45,$154.80
09/17/2024,$156.39,8123236,$156.17,$158.88,$155.14
09/16/2024,$155.55,9955158,$156.25,$157.76,$154.02
09/13/2024,$156.77,19003350,$159.78,$162.8899,$155.60
09/12/2024,$162.77,4756367,$159.42,$163.50,$159.06
09/11/2024,$161.33,6664756,$159.79,$161.8699,$156.10
09/10/2024,$160.07,6367077,$162.61,$163.90,$157.93
09/09/2024,$162.91,9091545,$162.30,$164.55,$161.11
09/06/2024,$157.62,7328641,$162.50,$162.85,$156.695
09/05/2024,$162.15,4717520,$164.15,$164.6163,$160.10
09/04/2024,$163.22,7316302,$160.28,$166.70,$160.28
09/03/2024,$161.02,17925420,$167.03,$169.60,$158.30
08/30/2024,$173.74,4146190,$173.14,$174.36,$171.49
08/29/2024,$172.26,4119472,$171.71,$175.28,$170.62
08/28/2024,$170.71,4550273,$172.30,$174.25,$170.15
08/27/2024,$173.05,3295800,$173.62,$173.93,$171.25
08/26/2024,$173.48,4034303,$173.00,$174.915,$172.30
08/23/2024,$174.96,4405948,$173.88,$176.92,$173.17
08/22/2024,$172.76,2788031,$173.00,$175.21,$172.30
08/21/2024,$173.43,4493631,$173.00,$174.20,$171.04
08/20/2024,$172.10,9549138,$176.49,$177.50,$170.04
08/19/2024,$179.64,3894182,$180.04,$180.70,$177.63
08/16/2024,$179.99,6731504,$176.30,$180.51,$176.30
08/15/2024,$176.41,5942222,$170.00,$176.56,$169.98
08/14/2024,$168.50,3852650,$167.885,$169.75,$167.33
08/13/2024,$168.76,6475461,$164.50,$168.88,$162.62
08/12/2024,$164.13,4715584,$167.73,$168.05,$163.519
08/09/2024,$167.91,3635590,$168.39,$169.85,$166.90
08/08/2024,$168.87,6063808,$164.23,$169.35,$164.00
08/07/2024,$163.24,5186448,$167.00,$167.98,$162.99
08/06/2024,$165.04,5817257,$168.89,$169.19,$163.39
08/05/2024,$167.03,9255072,$162.52,$167.68,$162.50
08/02/2024,$169.95,11742810,$175.22,$175.46,$167.25
08/01/2024,$178.31,13886970,$190.00,$191.17,$176.69
07/31/2024,$190.60,15416950,$189.88,$196.95,$183.86
07/30/2024,$186.86,4789017,$186.10,$188.13,$185.15
07/29/2024,$185.43,3608584,$186.70,$187.08,$183.83
07/26/2024,$186.89,6271995,$185.86,$189.59,$184.63
07/25/2024,$184.35,6128022,$179.45,$188.35,$179.45
07/24/2024,$180.07,5109135,$185.62,$187.00,$179.97
07/23/2024,$186.48,7614345,$179.10,$187.04,$179.00
07/22/2024,$178.90,4883531,$181.36,$182.72,$177.23
07/19/2024,$179.67,5121317,$181.40,$181.50,$177.39
07/18/2024,$180.23,5354761,$184.24,$187.37,$179.88
07/17/2024,$184.84,4899566,$185.32,$188.45,$183.79
07/16/2024,$186.05,8546392,$180.05,$187.44,$179.20
07/15/2024,$179.11,5189034,$183.50,$183.72,$178.88
07/12/2024,$182.31,5129294,$183.73,$184.4899,$180.45
07/11/2024,$183.91,4843225,$184.17,$186.10,$183.40
07/10/2024,$183.73,3583175,$183.60,$184.90,$182.80
07/09/2024,$183.24,3955122,$185.11,$186.245,$183.15
07/08/2024,$185.84,9878141,$186.94,$191.50,$182.28
07/05/2024,$184.83,3290380,$184.00,$185.38,$182.23
07/03/2024,$184.31,2764797,$185.05,$185.42,$182.85
07/02/2024,$185.42,4110453,$186.34,$189.225,$184.52
07/01/2024,$186.70,9056710,$182.20,$189.47,$182.20
06/28/2024,$182.01,5899850,$182.60,$184.435,$180.65
06/27/2024,$182.51,8198963,$178.91,$183.68,$178.01
06/26/2024,$178.50,6553895,$174.96,$178.82,$173.76
06/25/2024,$175.10,7695061,$176.29,$178.76,$173.29
06/24/2024,$179.10,7388289,$176.15,$180.60,$175.5901
06/21/2024,$176.56,8635096,$176.83,$178.41,$175.66
06/20/2024,$176.30,5479280,$173.02,$176.6489,$172.045
06/18/2024,$174.99,6179870,$177.61,$178.00,$173.82
06/17/2024,$178.39,4789953,$176.75,$180.45,$176.32
06/14/2024,$177.27,5105974,$178.90,$180.2899,$175.22
06/13/2024,$180.70,4201004,$181.74,$183.87,$178.99
06/12/2024,$182.67,5245156,$186.50,$187.16,$181.71
06/11/2024,$185.50,5010058,$189.32,$189.32,$182.75
06/10/2024,$190.12,4388254,$190.00,$192.63,$189.60
06/07/2024,$190.24,3374548,$190.46,$191.98,$189.66
06/06/2024,$191.42,5942160,$188.83,$192.10,$187.35
06/05/2024,$189.85,5943952,$187.90,$190.34,$186.5268
06/04/2024,$188.62,7176817,$185.05,$188.84,$183.25
06/03/2024,$184.57,8951574,$178.09,$186.01,$178.0197
05/31/2024,$177.61,5774549,$173.12,$177.90,$172.21
05/30/2024,$172.75,3927919,$172.64,$174.68,$171.5501
05/29/2024,$171.65,3666368,$173.61,$175.8299,$171.61
05/28/2024,$175.08,5274390,$174.73,$178.4914,$173.38
05/24/2024,$174.52,9489380,$173.20,$174.8595,$169.57
05/23/2024,$172.21,17115950,$185.79,$186.00,$171.61
05/22/2024,$186.28,3785412,$184.60,$186.8183,$183.41
05/21/2024,$184.78,4349117,$185.30,$186.39,$183.11
05/20/2024,$186.61,6228560,$184.65,$188.63,$184.01
05/17/2024,$184.95,5562368,$183.25,$185.3799,$181.22
05/16/2024,$182.96,6993218,$177.60,$183.76,$177.25
05/15/2024,$176.99,5858857,$180.14,$180.67,$176.17
05/14/2024,$180.76,4686537,$180.23,$183.66,$179.63
05/13/2024,$178.44,3105206,$179.04,$180.75,$178.07
05/10/2024,$178.51,3715473,$181.25,$181.88,$177.92
05/09/2024,$181.25,5107368,$179.55,$181.75,$179.31
05/08/2024,$180.35,4956761,$175.95,$181.66,$175.95
05/07/2024,$176.71,5097451,$177.22,$178.35,$176.13
05/06/2024,$178.35,11913390,$180.88,$183.98,$174.71
05/03/2024,$179.79,5416263,$179.59,$180.49,$177.90
05/02/2024,$178.85,10223730,$173.00,$178.90,$172.2501
05/01/2024,$171.46,6206091,$167.50,$173.86,$167.50
04/30/2024,$167.84,8248754,$171.49,$174.07,$167.76
04/29/2024,$173.49,7805459,$167.90,$173.81,$167.55
04/26/2024,$167.22,7208103,$165.98,$168.65,$164.93
04/25/2024,$166.81,12504690,$163.59,$168.13,$159.70
04/24/2024,$164.33,20889270,$176.50,$177.64,$162.74
04/23/2024,$169.18,7632123,$170.95,$171.18,$168.43
04/22/2024,$170.48,4724887,$169.82,$172.15,$168.16
04/19/2024,$169.82,4693869,$170.00,$172.00,$169.65
04/18/2024,$170.23,5123020,$169.48,$172.04,$169.095
04/17/2024,$170.21,8162632,$170.00,$170.85,$168.1215
04/16/2024,$170.55,7986725,$168.14,$170.64,$167.75
04/15/2024,$167.82,6490657,$170.74,$171.18,$167.53
04/12/2024,$169.55,7568297,$172.20,$173.24,$169.37
04/11/2024,$173.36,7625110,$174.47,$174.70,$171.38
04/10/2024,$174.63,9727732,$176.31,$178.10,$172.44
04/09/2024,$178.12,11439940,$181.51,$183.05,$176.57
04/08/2024,$181.56,6176429,$182.14,$184.55,$181.49
04/05/2024,$183.14,4130401,$184.16,$184.66,$182.44
04/04/2024,$183.29,6513806,$185.93,$188.00,$182.81
04/03/2024,$184.92,6609307,$187.68,$188.78,$184.27
04/02/2024,$188.04,4477218,$189.00,$189.23,$187.13
04/01/2024,$189.50,5107773,$192.24,$192.8673,$189.03
03/28/2024,$192.99,4471666,$192.00,$193.38,$191.20
